N,Iteration,a,v,t,R_pred,M_pred,V_pred,a_est,v_est,t_est
10,1,1.2078579343220122,1.0538482027458345,0.33513535854192167,0.7812385901693712,1.1138145363210525,0.6445159003426797,1.1739357029593684,1.0866813113897642,0.38371454787340353
10,2,1.7936442784159243,0.6499817821198295,0.29663366081686127,0.7623915475626528,2.8941081170016116,6.105745218982463,1.788316678050967,0.7361229799406346,0.3066428542816447
10,3,1.1396334112854638,1.6281448805488354,0.4344431286969749,0.8647702059538303,1.016394441846849,0.1648263657335756,1.078978433434636,1.718175523483371,0.40563619488947616
10,4,0.6264423597203446,0.6582254709868333,0.2847510485748538,0.6016489100443018,0.40595597479453716,0.8857264293368368,0.6015026510129146,0.6480266226456339,0.2664264743192339
10,5,0.8577763659359379,1.073526269529143,0.29498464989462586,0.7152143431298239,0.589994613128316,0.32339289257821136,0.8748062041475816,1.1077262435020343,0.26132635585167935
10,6,1.152759716721152,1.5743094459722022,0.48347997249560715,0.8599410591531462,1.0911234883304268,0.18500669173487452,1.1537573291369139,1.6417435959461226,0.4453489821560167
10,7,1.272661884994656,0.9190017381012399,0.49044967157255226,0.7630688163363445,1.417725862480065,1.0871220142823466,1.2098594640439173,0.9952384395688229,0.47594540656682727
10,8,0.5746955040355021,1.7641776935108064,0.4698888133064114,0.7337758522238452,0.5574200203118669,0.03206150923389293,0.5268878980717037,1.7112881367163182,0.43232869497915294
10,9,1.4790689049337895,0.5230118328816658,0.40540028360107294,0.684292766404501,1.9471134589542318,8.656217025621066,1.5448441480648247,0.5823894924080064,0.3759773711234306
10,10,1.164433144585801,0.5925269947464902,0.3784055240315104,0.6659575995377389,1.1379410929367046,3.7897558545287615,1.1142475120441393,0.6282083785204624,0.4187688344359113
10,11,1.8491829907062618,0.8987852965155974,0.43096976901421025,0.8405087742818335,3.0219382152088716,2.491248624933547,1.8776050650037897,0.851700287578036,0.3963826394113007
10,12,1.506757745577782,1.6114156226319032,0.35312517957059186,0.9189386413110581,1.5336081084525786,0.34274898748718136,1.5836756370927263,1.623131646979901,0.32418702545178
10,13,1.879250775127387,1.3045688231143635,0.2101198719570696,0.9206792513278389,2.4877519390207707,1.0110518961928352,1.9399420359634205,1.3297006351834646,0.18977559983486111
10,14,1.4598552689281172,0.7448373099106611,0.43672619370711485,0.7478832617539967,1.8552459155317442,2.7148178354346153,1.3857743137605385,0.7482774475177666,0.4592747051328183
